image,km,model,model_type,price,url,year
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/13/7/276/840/937_903679323.jpg,109000,Volkswagen,Passat,239900,https://www.finn.no/pw/ad/car-used-sale/276840937?orgId=783850227,2016
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/12/7/276/708/457_1652637321.jpg,57000,MercedesBenz,GLC,579900,https://www.finn.no/pw/ad/car-used-sale/276708457?orgId=783850227,2018
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/06/8/275/903/878_727243834.jpg,84000,Ford,Mondeo,209900,https://www.finn.no/pw/ad/car-used-sale/275903878?orgId=783850227,2016
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/05/1/275/745/631_1641932064.jpg,142000,Opel,Astra,89900,https://www.finn.no/pw/ad/car-used-sale/275745631?orgId=783850227,2007
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/05/5/275/742/925_1087655480.jpg,232000,Toyota,Avensis,49900,https://www.finn.no/pw/ad/car-used-sale/275742925?orgId=783850227,2007
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/01/2/275/143/992_971004237.jpg,55000,Toyota,Yaris,179900,https://www.finn.no/pw/ad/car-used-sale/275143992?orgId=783850227,2018
https://images.finncdn.no/dynamic/480w/2022/9/vertical-3/05/8/271/947/748_579760265.jpg,93000,MINI,Cooper,199900,https://www.finn.no/pw/ad/car-used-sale/271947748?orgId=783850227,2016
https://images.finncdn.no/dynamic/480w/2022/9/vertical-3/02/9/271/501/239_1016170350.jpg,235000,MercedesBenz,CKlasse,199900,https://www.finn.no/pw/ad/car-used-sale/271501239?orgId=783850227,2015
https://images.finncdn.no/dynamic/480w/2022/1/vertical-3/14/8/223/700/738_483612638.jpg,166500,Volkswagen,Tiguan,179900,https://www.finn.no/pw/ad/car-used-sale/244841296?orgId=783850227,2012
https://images.finncdn.no/dynamic/480w/2021/9/vertical-3/23/9/232/871/659_1520668155.jpg,134000,MercedesBenz,CLK,109900,https://www.finn.no/pw/ad/car-used-sale/232871659?orgId=783850227,2004
https://images.finncdn.no/dynamic/480w/2021/9/vertical-3/10/0/231/327/730_1919235109.jpg,181000,Opel,Astra,49900,https://www.finn.no/pw/ad/car-used-sale/231327730?orgId=783850227,2009
https://images.finncdn.no/dynamic/480w/2020/9/vertical-3/16/5/191/691/145_566287830.jpg,292000,MercedesBenz,EKlasse,149900,https://www.finn.no/pw/ad/car-used-sale/191691145?orgId=783850227,1989
